ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS_ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2F1
1.004673003	1.114613343	0.88950389	0.845269151	0.925640269	0.943799197	0.849136855	0.97691854	1.192693328	0.918766872	0.913935077	1.014132432	0.916623188	0.902547467	0.895492594	1.087879682	1.335356033	1.201313431	1.252013248	1.227650115	1.239400676	1.206258648	1.160730894	1.300455958
0.965851677	1.09578688	0.839366988	0.904197936	0.87039884	0.899471984	0.877903424	0.955067397	1.195134357	0.894666317	0.97393704	0.982944818	0.906361625	0.892502629	0.880807322	1.072715126	1.343221771	1.157782257	1.253292033	1.217317861	1.169898914	1.174533763	1.161859102	1.254328326
1.059262324	1.174527584	0.896593451	0.906582404	0.937158203	0.9194404	0.952990636	1.043102001	1.245691556	0.969607663	1.040935581	1.004258674	1.024587892	1.00784205	0.976399683	1.181577232	1.381613924	1.249029014	1.255329198	1.319947069	1.250164921	1.270412166	1.214916681	1.266020774
1.056391529	1.208269554	0.932291804	0.8779199	0.941656543	0.972898669	0.87483969	0.982601893	1.264074376	0.939873858	1.026920806	1.053164643	0.96241693	0.937786537	1.00028207	1.088220361	1.261840378	1.243031919	1.167448315	1.211124107	1.286177419	1.236533015	1.128014863	1.305741827
1.150948676	1.275871719	0.992180316	0.939865194	0.919548409	0.992384204	1.015939202	1.106980947	1.300410174	0.99992804	1.06295325	0.973650545	1.07072496	1.094387898	1.010482214	1.111814279	1.321806363	1.250349807	1.154174895	1.257449888	1.337385763	1.266396949	1.162462321	1.217008211
1.068065118	1.248050248	0.93529225	0.901811507	0.880482346	0.94025279	0.962395155	1.098990079	1.176116606	1.072549354	0.984793098	0.957167419	0.978926417	1.005088329	1.036629001	1.148386372	1.266509964	1.234992526	1.135526143	1.19491322	1.192961532	1.263443025	1.256774758	1.253034023
1.142418842	1.205893906	0.977224894	1.080630822	0.919790939	1.034323921	1.081002965	1.127942508	1.245489843	1.009216723	1.110166513	1.11368946	1.05143006	1.041506266	1.031632092	1.210545685	1.265610334	1.146400764	1.284664018	1.307538362	1.309423882	1.211798564	1.173653982	1.271911943
1.058646933	1.167245921	0.943262784	0.956553931	0.944051757	0.992312579	0.946503639	0.981242692	1.245354168	0.999826022	1.019574602	1.000275129	1.055612424	0.949732356	0.985078311	1.078686827	1.203344433	1.206609564	1.175329851	1.24978455	1.190514531	1.250427866	1.200382753	1.266134481
1.202476604	1.166073721	1.091042741	1.092641696	1.068923859	1.080995972	1.068710665	1.149671104	1.411686587	1.103554567	1.059130257	1.151989589	1.068244303	1.152842365	1.005751798	1.222530169	1.356309433	1.191923499	1.330672849	1.260905098	1.404864377	1.290299227	1.329646853	1.285409088
1.098494646	1.152567041	1.068046112	1.0782255	1.056919209	1.045267332	1.00343581	1.02242453	1.311263055	1.130197997	1.158649065	1.13309176	1.102092643	1.024972578	1.00950503	1.101644494	1.356282838	1.297191172	1.282005318	1.30190314	1.251262287	1.24201761	1.206012027	1.284271672
