ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS_ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2F1
1.035977464	1.10956947	0.981367067	0.976392048	1.055201446	1.086773679	1.045825449	1.069909642	1.294219198	0.985512916	1.118677581	1.066376103	0.996840651	0.984619964	0.960816413	1.09509089	1.216379292	1.236330392	1.137557138	1.296808759	1.285085575	1.31330286	1.242517274	1.330332731
1.521007537	1.826824712	1.096237841	1.273130194	1.418115055	1.615821684	1.562346196	1.552992334	1.102557495	0.584055917	1.018237454	1.151143465	1.345641951	1.382883463	1.566076145	1.901810217	1.327436707	1.102905366	1.189776461	1.463338272	1.539290086	1.588533144	1.688835921	1.922276622
1.249452954	1.500824014	0.789223333	1.051970743	1.17102558	1.369003853	1.310716589	1.366159765	0.938984396	0.547955399	0.850123189	0.96033159	0.958148918	1.148504374	1.136797315	1.392417971	1.212082964	0.991682697	1.077947847	1.099212364	1.400768345	1.229676623	1.410391944	1.614041857
1.21093515	1.383487687	0.766475783	0.872953285	1.201571834	1.326099102	1.18776054	1.281023035	1.029535004	0.570990373	0.847522455	0.92536207	0.964555847	1.023556019	1.126568611	1.435686965	1.163635094	0.979237397	1.062604753	1.220121191	1.263956337	1.257719498	1.572188319	1.774152306
1.219282989	1.573866697	0.708875673	0.967622307	1.133712971	1.291270197	1.344204443	1.329645422	1.009279623	0.672873654	0.877373205	0.940608169	1.012645871	1.174932675	1.178888016	1.496964767	1.245859515	0.945455566	1.135564408	1.29931553	1.342689632	1.273311266	1.637724417	1.759767729
1.253127275	1.512753633	0.679279015	0.873077717	1.041217002	1.104990599	1.146446698	1.174942671	1.083015443	0.660254529	0.911811374	1.024866052	1.034924413	1.144734983	1.225267082	1.428961125	1.195385435	1.003885321	1.146593416	1.149087629	1.286073707	1.376240314	1.471753991	1.754512949
1.234524913	1.368901059	0.622215994	0.845610271	0.993795951	1.045395744	1.003352666	1.169859425	1.053367758	0.677809879	0.913251116	0.989171212	0.986486924	1.181000841	1.24259395	1.4302031	1.281128048	0.867699058	1.112826373	1.134527069	1.227199715	1.219842177	1.369612557	1.518994847
1.425802777	1.417829444	0.648369319	0.98514213	1.211276571	1.260707885	1.072363021	1.316470963	1.068409856	0.678152063	1.002948123	0.951958994	0.98827451	1.200170857	1.359872025	1.592555989	1.639977219	1.066014506	1.222298531	1.389671519	1.509171008	1.405400425	1.615403943	1.661635873
1.300339872	1.578352242	0.667217762	0.970728693	1.055420341	1.127069996	1.18268548	1.278711629	1.001496089	0.711710149	0.873889452	1.044264721	0.974127417	1.196475518	1.337855931	1.590792548	1.182490338	0.98477892	1.17242426	1.378250335	1.447168001	1.488960923	1.482439926	1.681289672
1.310947929	1.461037666	0.786742366	1.00443407	1.102792995	1.272255393	1.227773933	1.427465425	1.149597063	0.778613239	0.999507326	0.960920363	1.092675574	1.184770496	1.283974006	1.43089655	1.378426726	1.029278936	1.243222794	1.325745757	1.36178137	1.497161257	1.640705463	1.853663973
1.460488696	1.619512483	0.712889439	0.942547234	1.112341203	1.164140655	1.118124208	1.289209184	1.184089368	0.794718071	1.031060807	1.072709052	1.077749285	1.273911634	1.337206355	1.516055059	1.478138356	0.97002977	1.377475167	1.371957438	1.451380906	1.482382763	1.657110856	1.842785982
1.355667369	1.492947579	0.689709864	0.920643168	1.09096776	1.137236457	1.05692253	1.284935328	1.112444967	0.733550275	0.959725451	0.981432361	0.987831223	1.195219995	1.302917772	1.472241516	1.365643031	1.015559627	1.367382209	1.279914682	1.403675244	1.391894774	1.506943039	1.712789521
1.29895719	1.482003293	0.737173436	0.956097695	1.070236004	1.196888035	1.072343578	1.317102086	1.146503842	0.766877058	0.972464325	1.002958288	0.982327113	1.261300768	1.227744237	1.45460483	1.254451153	0.987332602	1.216663008	1.347793633	1.307420417	1.398342481	1.457947311	1.70687157
1.350328255	1.413530341	0.708238355	0.900370073	1.1121151	1.144421304	1.08836922	1.280796121	1.137041714	0.71714306	0.960161148	0.976691429	1.000584901	1.241995878	1.235337849	1.443967049	1.321383864	0.955241422	1.220431077	1.32631999	1.342702679	1.357478258	1.492491951	1.633983284
