ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS_ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2F1
1.072295443	1.106696459	1.041591997	0.953576209	1.054306649	1.023750652	0.998037792	1.199623438	1.284077762	1.009323322	1.034695915	0.981943153	0.919572171	0.991981036	1.000635165	1.161456797	1.306966404	1.117267427	1.080110247	1.111789125	1.059569449	1.061747159	1.025769571	0.822380509
0.977421718	1.127000938	1.00750838	1.012746784	1.000368207	1.020376634	0.995949727	1.194906601	1.302453319	0.982102119	1.056954361	0.985677899	0.936414122	1.006904824	1.017461348	1.17628749	1.290325275	1.147965943	1.085036764	1.085070927	1.076495887	1.102403213	1.071029726	0.843455221
1.036509058	1.164339554	1.027866798	1.102754671	1.067588404	1.110015106	1.043148843	1.183813914	1.293036618	1.107403692	1.093585445	1.050655196	1.040666242	1.030548475	1.071827561	1.20130922	1.386145841	1.173742988	1.189282661	1.219343204	1.124887288	1.18088632	1.066370524	0.86134521
1.029448157	1.168102719	1.0709238	1.062213463	1.099051867	1.145074485	0.998476819	1.171442433	1.353998443	1.022091759	1.079013581	1.115332975	0.981315652	1.004693653	1.072729051	1.169456657	1.315636859	1.244126353	1.150422542	1.134773272	1.179385538	1.158467191	1.027947542	0.846237744
1.000023987	1.080007836	1.086424294	1.196307638	1.16054338	1.071372602	1.01983705	1.184925921	1.295396941	1.177022284	1.07164845	1.170461905	1.026277495	1.048909002	1.104606257	1.212978436	1.342866738	1.152243961	1.246272058	1.26416618	1.107448688	1.203251805	1.198274552	0.909378023
1.030088523	1.185735639	1.094180562	1.073583284	1.071863939	1.086246021	1.061210976	1.280090459	1.270401722	1.171934417	1.091090389	1.039312572	0.995004608	1.087198631	1.117310388	1.247573943	1.284969679	1.269147066	1.097839977	1.126917805	1.104926463	1.172654683	1.145284582	0.8547038
1.034820111	1.111853558	1.121194329	1.287541918	1.145619265	1.229673797	1.14973764	1.254470876	1.364612579	1.117609358	1.185016726	1.227627014	1.068833913	1.149625997	1.172388698	1.293322527	1.368693739	1.179124473	1.262409911	1.3277829	1.202867149	1.147703262	1.068995175	0.87937629
0.935239544	0.999583261	1.161237594	1.139850379	1.162912643	1.086710067	1.031348495	1.181617353	1.273380887	1.13045554	1.095243105	1.132761767	1.029624894	1.122068159	1.056413535	1.158967782	1.379455164	1.17126361	1.20169366	1.167427991	1.195491125	1.171870511	1.022730491	0.78056458
1.052427969	1.167392859	1.31990655	1.250152123	1.330886043	1.16466131	1.209725202	1.19063101	1.486997384	1.282144554	1.210444732	1.288713596	1.107818448	1.260052321	1.140703629	1.32670211	1.524812678	1.254815743	1.232736834	1.297774343	1.25149791	1.282744163	1.125233736	0.888188606
0.985330585	1.058071593	1.213758606	1.220762536	1.176011643	1.158585044	1.079518731	1.190890195	1.424324682	1.17494889	1.204705993	1.158136895	1.085280648	1.145767978	1.146036868	1.227433557	1.406193848	1.212362941	1.166037124	1.226921386	1.18083885	1.241262159	1.169250993	0.892115563
0.94066121	1.023067928	1.111929414	1.260656958	1.199693845	1.1486425	1.096251727	1.17655363	1.398452216	1.106456894	1.22769427	1.080816413	1.137416817	1.175852025	1.101379824	1.1582226	1.354225577	1.169473796	1.190981184	1.297701711	1.139368555	1.163286914	1.06779207	0.859874561
0.785936997	1.386497455	1.149172196	1.389550989	1.558287702	1.775591058	1.588359209	1.753172711	1.406171487	1.472788765	1.213972815	1.260355601	1.629021452	1.760110803	1.79184436	1.837801971	1.392991046	0.830348515	1.013560523	0.851800554	1.597075308	1.426579914	1.629968434	1.416839528
0.938058414	1.088398216	0.736277001	0.943730054	1.341025966	1.32733466	1.327896863	1.529959378	1.251073423	1.334114171	1.014815713	1.091440729	1.500691731	1.432995828	1.536457788	1.692584978	1.132928032	0.717889643	0.893247496	0.763361976	1.093210016	1.200194015	1.436335977	1.186072789
1.074401564	1.131387253	0.753228544	0.974789419	1.194013494	1.345841033	1.165794619	1.33915295	1.177156302	1.177333577	1.02460355	1.014934032	1.539457003	1.458458679	1.36840324	1.535734239	1.281377584	0.731214277	0.869520607	0.754388887	1.200153638	1.113321372	1.357025442	1.130243027
