ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS/ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2f(1)
1.555269442	1.668050966	1.733427573	1.632015893	1.725370112	1.528094137	1.515555216	1.607717435	1.829028253	1.685724656	1.638846969	1.508024986	1.645093507	1.563200825	1.518707139	1.579052131	1.856788095	1.610089973	1.698469885	1.600508128	1.71536419	1.778803798	1.634663508	1.719261113
1.469657368	1.576050011	1.707894666	1.618431537	1.671090872	1.619782665	1.561083674	1.711451481	1.752331754	1.672511288	1.518863821	1.625741484	1.564917643	1.621607265	1.682719808	1.622011448	1.831932805	1.499335984	1.660662938	1.633986827	1.628328259	1.703748898	1.546602357	1.698298195
1.510448121	1.67505703	1.636688313	1.666709415	1.544584737	1.576890941	1.57204093	1.593026555	1.771485977	1.57715909	1.469083123	1.700927642	1.626218818	1.60587442	1.644837731	1.734154882	1.676864126	1.481989282	1.710674299	1.543535456	1.656006746	1.869150743	1.607611564	1.575456923
1.702385091	1.802056329	1.872088787	1.852011308	1.731119255	1.646700869	1.620479531	1.744336719	1.823013297	1.673085541	1.632314941	1.720954874	1.789479636	1.830275364	1.851169511	1.724937703	1.966244372	1.693690713	1.745128259	1.713680243	1.703528426	1.882843681	1.680887865	1.828503822
1.514756216	1.622118385	1.67155884	1.64980202	1.911991208	1.639873662	1.774051206	1.722849065	1.764953357	1.685023154	1.553790141	1.76151807	1.693655414	1.645838227	1.722534479	1.908543337	1.721389383	1.539948324	1.641270427	1.842694037	1.669520318	1.994702359	1.593881078	1.753552733
1.696469153	1.742976591	1.714612704	1.715570861	1.682170511	1.811976136	1.777593062	1.86679988	1.812688611	1.745482538	1.694454567	1.653917181	1.62672028	1.791953124	1.86979719	1.865939996	1.75932667	1.617310692	1.751550862	1.653118717	1.665722159	1.970956396	1.765358142	1.858311597
1.724741082	1.88296893	1.949456591	1.862997059	1.816417338	1.827234369	1.848868431	1.94210459	2.079823552	1.745377829	1.86547756	1.824459788	1.734637514	1.854417594	1.914883007	1.881690321	2.111737629	1.651975451	1.833231045	1.763086562	1.81379619	2.111724843	1.829382432	1.874504539
1.595492122	1.714718559	1.703621348	1.788047431	1.869680508	1.799705737	1.789069871	1.732075095	1.836787877	1.782648451	1.757386711	1.770977677	1.643521847	1.673733692	1.671963126	1.684631402	1.949393394	1.593073179	1.615691539	1.641028092	1.761439063	2.112971268	1.749119912	1.825179446
1.736959403	1.897634631	1.847079536	1.840144988	1.836864126	1.778939519	1.717249379	1.81092792	1.874357912	1.749175642	1.728533554	1.835062138	1.770339685	1.831992543	1.716590721	1.811164043	2.109896437	1.612945319	1.687323944	1.689175642	1.918251864	2.356570008	1.60596106	1.817129246
1.753966232	1.974989455	1.823284988	1.841826785	1.859040587	1.810405957	1.703853269	1.807737441	1.954718762	1.748917351	1.78068897	1.772833763	1.768737028	1.8455602	1.801849168	1.694006072	2.312963806	1.701222339	1.750546022	1.704366927	1.875151905	2.344071428	1.694219052	1.685737433
1.792025632	1.932328012	1.811236728	1.890013974	1.861948274	1.862666568	1.797380186	1.795212245	1.942135988	1.811432626	1.752388871	1.861634837	1.783562825	1.845401396	1.838074798	1.815141634	2.25523375	1.641836917	1.808951247	1.785495688	1.946798368	2.402013835	1.665174937	1.726491113
