ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS/ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2f(1)
0.9936560090000001	1.132789969	1.027687395	1.0459939329999999	0.9912236720000001	0.965012037	0.999182109	1.122217836	1.101617647	1.0117705209999999	0.9677324140000001	0.957074937	0.929999182	0.943121002	0.98041684	1.068887775	1.144140876	1.188797736	1.183805043	1.1374946209999999	1.09089616	1.138380078	1.136897205	1.205248017
0.9226042	1.085100177	0.882332234	0.946421387	0.9786268909999999	0.8980930159999999	0.882312118	1.015559623	1.039708722	0.8941603640000001	0.8984349859999999	0.890036611	0.964847522	0.869619005	0.884937238	0.944993161	1.198583843	1.100599453	1.105940216	1.080312601	1.142712021	1.057380512	1.051798359	1.059553025
0.9970731540000001	1.06598585	1.0026798829999999	1.01036911	0.973625017	0.951298225	0.939373915	1.032145241	1.0690595379999999	0.949255774	0.95211921	0.953110399	0.9222433590000001	0.9437391540000001	0.9595481240000001	1.003771192	1.1878220529999999	1.137962221	1.153801228	1.145250968	1.137331464	1.075066747	1.091506474	1.092217327
1.016931106	1.132085612	1.070685424	1.005289914	0.98025324	1.0253882090000002	0.9262454109999999	1.002176808	1.144832109	1.01037026	0.9409997090000001	1.0458718390000001	0.9713499590000001	0.917372552	1.007226733	0.990596459	1.175892187	1.128029448	1.2125497729999999	1.109208845	1.154698728	1.109928814	1.059774342	1.119065325
1.052641232	1.158273528	1.120552803	1.079347342	1.0738247509999999	0.988621967	1.0837287340000001	1.055983317	1.212511081	1.013677414	1.03348538	1.086948548	1.053313725	0.963108003	1.087009683	1.083514759	1.19134794	1.120827913	1.190115037	1.250547674	1.168992654	1.147676674	1.263742795	1.25885194
1.089528275	1.412101216	1.1650433	1.164569333	1.116533356	1.191827932	1.180044898	1.2039967520000001	1.249398356	1.174313208	1.194374125	1.281506847	1.215096392	1.055634142	1.1768483779999999	1.186239533	1.4260667009999999	1.3653879359999999	1.3909931619999998	1.36784595	1.351984598	1.3721888080000002	1.267905104	1.4245345759999999
1.166537753	1.4654317419999998	1.273885857	1.276683413	1.18237973	1.127523765	1.257740268	1.3065565479999999	1.3513174540000001	1.220753967	1.150088553	1.3842917559999999	1.282050819	1.196150649	1.225687642	1.274655727	1.4654208990000002	1.330476741	1.5021469619999999	1.5175768969999999	1.454002964	1.410705895	1.43844291	1.4195106080000002
1.3560989019999998	1.5518186580000002	1.435033075	1.3838328309999999	1.416079514	1.405416046	1.379286651	1.447412503	1.625749804	1.4262081359999998	1.352644696	1.4370387430000002	1.348744786	1.3341814090000002	1.3803674830000001	1.459212515	1.7856015330000001	1.660559284	1.735582405	1.699881517	1.705140824	1.66825882	1.6254155259999998	1.5903497659999999
1.633700085	1.812858076	1.6410310119999998	1.6775254730000002	1.604302453	1.5968483180000002	1.5976738169999998	1.705074973	1.75932383	1.4824365780000002	1.640341042	1.609378658	1.606976085	1.533753065	1.5778371919999998	1.659734115	1.85551298	1.7324273380000001	1.9976836740000001	1.867649052	1.887165334	1.939381245	1.9356973000000002	1.906090214
1.399581762	1.562090894	1.442423248	1.478543844	1.357936839	1.374979498	1.40475942	1.447175958	1.6742995809999999	1.441148404	1.4529686730000002	1.447735101	1.3779988669999998	1.300389909	1.40636975	1.346228398	1.785311703	1.712477821	1.710252434	1.668417403	1.55606334	1.70367692	1.688457065	1.530655911
